,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,06/10/2019 - 22:14:41,3,250,571,232,321,2.461206896551724,92.80000000000001,235.2647974137931,157.131051011122,0,0,[29],[]
0,06/10/2019 - 22:17:42,3,250,595,234,345,2.5427350427350426,93.60000000000001,99.0290982905983,93.44508435454911,0,0,[29],[]
0,06/10/2019 - 22:19:55,3,250,637,230,387,2.7695652173913046,92.0,92.97288260869564,94.07227452960397,0,0,[29],[]
0,06/10/2019 - 22:22:24,3,251,626,242,375,2.5867768595041323,96.41434262948208,202.29443801652894,143.9387258440542,0,0,[29],[]
0,06/10/2019 - 22:24:59,5,250,498,247,248,2.016194331983806,98.8,96.06614574898784,100.20489236435533,0,0,[29],[]
0,06/10/2019 - 22:28:58,5,250,388,249,138,1.5582329317269077,99.6,153.09012048192773,147.299617223107,0,0,[29],[]
0,06/10/2019 - 22:31:29,5,250,470,253,220,1.8577075098814229,101.2,142.46659288537546,128.3993463400097,0,0,[29],[]
0,06/10/2019 - 22:34:53,5,251,403,250,152,1.612,99.60159362549801,20.314611999999997,38.13642699453445,0,0,[29],[]
0,06/10/2019 - 22:40:45,8,250,307,268,57,1.1455223880597014,107.2,130.17771641791043,136.09425206603,0,0,[29],[]
0,06/10/2019 - 22:45:09,8,251,277,250,26,1.108,99.60159362549801,148.276784,149.81671363930442,0,0,[29],[]
0,06/10/2019 - 22:49:42,8,250,458,251,208,1.8247011952191234,100.4,204.54082470119522,169.78816866882536,0,0,[29],[]
0,06/10/2019 - 22:52:01,8,251,381,252,130,1.5119047619047619,100.39840637450199,83.95220238095239,107.05412344461449,0,0,[29],[]
0,06/10/2019 - 22:56:00,8,250,469,245,219,1.9142857142857144,98.0,234.30879183673468,154.32591725055795,3,3,"[29, 8, 4, 4]","[17, 8, 11]"
0,06/10/2019 - 22:58:13,8,251,487,277,236,1.7581227436823104,110.35856573705178,90.16905054151626,86.81319768203933,0,0,[29],[]
0,06/10/2019 - 23:00:38,8,250,381,250,131,1.524,100.0,11.562712,18.79666181099868,0,0,[29],[]
0,06/10/2019 - 23:05:35,8,250,578,248,328,2.3306451612903225,99.2,385.8798467741936,234.23856783235752,14,14,"[29, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[5, 5, 7, 7, 7, 7, 7, 6, 6, 6, 6, 5, 5, 5]"
0,06/10/2019 - 23:13:45,1,250,266,250,16,1.064,100.0,155.08111599999998,160.19152312710727,0,0,[29],[]
0,06/10/2019 - 23:16:32,1,250,354,250,104,1.416,100.0,251.53008400000004,163.84537796997796,0,0,[29],[]
0,06/10/2019 - 23:20:31,1,250,381,249,131,1.5301204819277108,99.6,12.245638554216866,20.961676075482448,0,0,[29],[]
0,06/10/2019 - 23:23:42,1,250,391,254,141,1.5393700787401574,101.6,67.96630708661417,106.54018412772098,0,0,[29],[]
