LQE,TxEntrega,Relacao,Gain-index,CustoEnerg,errTxEntrega,errRelacao,errGain-Index
wmewmaPRR,65.2058432934927,5.97189196111822,61.3866408476355,59919.75,1.13456639330539,0.513207680554249,0.962648927283114
ETX,77.9548472775565,4.38956519416698,75.4705703878153,64762.9166666667,1.70681850444451,0.269859464148135,3.60135783141586
LQM3 w CD,82.060026560425,3.60809555685717,70.3826572911139,51268.5,9.92830297085,0.845805297415293,3.45311393291549
LQM3 w/o CD,93.8223107569721,2.29510001445091,73.1991803036563,38907,4.43238484284913,0.765830734750831,0.0150244979252053
MaxGain,94.6103585657371,2.40887769962135,88.9273122689187,50362.6666666667,0.336637631489469,0.242031143533549,0.00635500177800381
