,timestamp,avgGain,std,length
0,09/10/2019 - 15:42:57,77.36538461538461,8.04859514851506,871
0,09/10/2019 - 15:45:32,85.27322738386309,5.4877679805139605,818
0,09/10/2019 - 15:47:32,68.90898959881129,9.645363821983889,673
0,09/10/2019 - 15:49:40,65.32911849710983,7.412018220926452,692
0,09/10/2019 - 15:52:44,88.92691622103386,1.7294778688562154,561
0,09/10/2019 - 15:55:07,88.92190476190476,1.7876817098386408,525
0,09/10/2019 - 15:57:47,88.93311582381729,1.6546231385023564,613
0,09/10/2019 - 16:01:04,88.91848906560637,1.82628154393386,503
0,09/10/2019 - 16:03:15,66.87344139650872,11.10524938789147,802
0,09/10/2019 - 16:05:49,72.41319444444444,3.107774671149085,648
0,09/10/2019 - 16:08:41,71.86133603238866,4.190180310622715,741
0,09/10/2019 - 16:12:07,55.24446680080483,10.604732750411502,994
0,09/10/2019 - 16:25:01,73.21361671469741,0.95778609847976,694
0,09/10/2019 - 16:27:12,73.19274376417233,1.2010169349794257,441
0,09/10/2019 - 16:30:10,73.20972886762361,1.007583410145835,627
