,timestamp,avgGain,std,length
0,04/10/2019 - 08:46:39,60.427083333333336,14.732131508533387,576
0,04/10/2019 - 08:49:46,73.1737160120846,1.3857674581443202,331
0,04/10/2019 - 08:52:55,46.88089528377298,8.401626797921013,1251
0,04/10/2019 - 08:55:15,67.33819628647215,11.482948374782378,377
0,04/10/2019 - 08:57:58,68.24126344086021,11.078445131064052,372
0,04/10/2019 - 09:00:14,64.55960648148148,13.030937424806293,432
0,04/10/2019 - 09:02:36,73.17417417417417,1.3816122995399012,333
0,04/10/2019 - 09:06:29,58.13520097442144,9.82987087293676,821
0,04/10/2019 - 09:08:34,73.18508997429306,1.278579226197181,389
0,04/10/2019 - 09:11:20,63.22329246935202,12.253321163154967,571
0,04/10/2019 - 09:13:24,68.32673267326733,9.727763585433241,505
0,04/10/2019 - 09:18:19,73.18492268041237,1.2802215675666924,388
0,04/10/2019 - 09:20:46,73.18101092896175,1.3180343515224204,366
0,04/10/2019 - 09:24:07,73.18475452196382,1.2818702539685003,387
0,04/10/2019 - 09:28:22,73.1854219948849,1.27531341654174,391
0,04/10/2019 - 09:30:58,73.18900966183575,1.2394701357023301,414
0,04/10/2019 - 09:34:31,73.19815195071868,1.143011384081062,487
0,04/10/2019 - 09:36:54,73.18320105820106,1.2970008410937222,378
0,04/10/2019 - 09:40:03,73.18063186813187,1.3216404170391636,364
