,timestamp,avgGain,std,length
0,06/10/2019 - 22:14:43,50.695605187319885,2.9319574993237074,694
0,06/10/2019 - 22:17:43,49.90044576523031,3.100401370332977,673
0,06/10/2019 - 22:19:56,51.48401988636363,2.9634989981615534,704
0,06/10/2019 - 22:22:25,49.890866873065015,2.9383318898604216,646
0,06/10/2019 - 22:25:00,59.16916666666667,1.3793595031350199,600
0,06/10/2019 - 22:28:59,55.74452554744526,1.5536239579228943,548
0,06/10/2019 - 22:31:29,55.47476635514019,1.3377406994836256,535
0,06/10/2019 - 22:34:54,56.19398148148148,2.051757575301042,540
0,06/10/2019 - 22:40:46,73.20217803030303,1.0978241180001405,528
0,06/10/2019 - 22:45:10,73.20019723865877,1.1202854140033547,507
0,06/10/2019 - 22:49:37,73.20153550863724,1.1051604408350564,521
0,06/10/2019 - 22:52:01,73.1979381443299,1.1453608247422684,485
0,06/10/2019 - 22:56:01,73.19510869565218,1.1760069640480884,460
0,06/10/2019 - 22:58:14,73.20756302521008,1.034278838909536,595
0,06/10/2019 - 23:00:39,73.20262664165104,1.0926724409584894,533
0,06/10/2019 - 23:05:37,73.20009881422925,1.1213896790902513,506
0,06/10/2019 - 23:13:46,88.90807174887892,1.939228581836073,446
0,06/10/2019 - 23:16:33,88.94504021447722,1.5001102054214568,746
0,06/10/2019 - 23:20:32,88.90744920993228,1.945768933875337,443
0,06/10/2019 - 23:23:44,88.92545454545454,1.746655836611852,550
