,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,06/10/2019 - 22:14:43,3,250,695,224,445,3.1026785714285716,89.60000000000001,7.806343750000001,5.605451117841856,0,0,[29],[]
0,06/10/2019 - 22:17:43,3,250,674,228,424,2.956140350877193,91.2,21.219030701754388,44.68078795505004,0,0,[29],[]
0,06/10/2019 - 22:19:56,3,251,705,225,454,3.1333333333333333,89.64143426294821,13.03508888888889,31.129004299614724,0,0,[29],[]
0,06/10/2019 - 22:22:25,3,251,647,229,396,2.8253275109170306,91.23505976095618,9.81482096069869,11.863815847783895,0,0,[29],[]
0,06/10/2019 - 22:25:00,5,251,601,236,350,2.5466101694915255,94.02390438247012,7.984427966101695,6.153960566989794,0,0,[29],[]
0,06/10/2019 - 22:28:59,5,251,549,245,298,2.240816326530612,97.60956175298804,12.26890612244898,27.96156818562489,0,0,[29],[]
0,06/10/2019 - 22:31:29,5,251,536,241,285,2.224066390041494,96.01593625498009,9.290414937759335,8.919467110151338,0,0,[29],[]
0,06/10/2019 - 22:34:54,5,250,541,242,291,2.2355371900826446,96.8,23.989223140495866,42.408778774060835,0,0,[29],[]
0,06/10/2019 - 22:40:46,8,251,529,244,278,2.168032786885246,97.21115537848605,17.825155737704918,39.70280980425435,0,0,[29],[]
0,06/10/2019 - 22:45:10,8,250,508,247,258,2.0566801619433197,98.8,8.50431983805668,5.340478119178873,0,0,[29],[]
0,06/10/2019 - 22:49:37,8,250,522,242,272,2.15702479338843,96.8,12.502090909090908,23.90171740777893,0,0,[29],[]
0,06/10/2019 - 22:52:01,8,250,486,248,236,1.9596774193548387,99.2,21.28286693548387,54.876024348386544,0,0,[29],[]
0,06/10/2019 - 22:56:01,8,251,461,247,210,1.8663967611336032,98.40637450199203,39.23231578947369,82.716610343547,0,0,[29],[]
0,06/10/2019 - 22:58:14,8,251,596,244,345,2.442622950819672,97.21115537848605,22.388573770491803,50.8672943495256,0,0,[29],[]
0,06/10/2019 - 23:00:39,8,251,534,244,283,2.1885245901639343,97.21115537848605,16.574889344262296,33.76357341032605,0,0,[29],[]
0,06/10/2019 - 23:05:37,8,251,507,245,256,2.0693877551020408,97.60956175298804,14.255742857142858,30.871567391556724,0,0,[29],[]
0,06/10/2019 - 23:13:46,1,250,447,249,197,1.7951807228915662,99.6,12.347939759036143,27.893795873226985,0,0,[29],[]
0,06/10/2019 - 23:16:33,1,251,747,241,496,3.099585062240664,96.01593625498009,10.162273858921163,11.834468959774075,0,0,[29],[]
0,06/10/2019 - 23:20:32,1,250,444,246,194,1.8048780487804879,98.4,9.918638211382115,10.361052859282635,0,0,[29],[]
0,06/10/2019 - 23:23:44,1,251,551,244,300,2.2581967213114753,97.21115537848605,11.3127868852459,26.09476513240228,0,0,[29],[]
