,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,06/10/2019 - 22:14:40,3,250,673,211,423,3.18957345971564,84.39999999999999,8.132364928909952,8.76800131696586,0,0,[29],[]
0,06/10/2019 - 22:17:41,3,251,693,213,442,3.2535211267605635,84.86055776892431,8.871948356807511,9.37380313898328,0,0,[29],[]
0,06/10/2019 - 22:19:54,3,251,704,213,453,3.3051643192488265,84.86055776892431,7.845967136150234,7.0542120986155,0,0,[29],[]
0,06/10/2019 - 22:22:23,3,251,706,216,455,3.2685185185185186,86.05577689243027,45.78809722222222,65.25418297507967,0,0,[29],[]
0,06/10/2019 - 22:24:57,5,251,500,244,249,2.0491803278688523,97.21115537848605,8.996446721311475,9.44795174400237,0,0,[29],[]
0,06/10/2019 - 22:28:57,5,251,487,244,236,1.9959016393442623,97.21115537848605,9.245147540983606,9.505588393126601,0,0,[29],[]
0,06/10/2019 - 22:31:26,5,250,476,244,226,1.9508196721311475,97.6,10.52459426229508,11.112121993576698,0,0,[29],[]
0,06/10/2019 - 22:34:51,5,251,514,242,263,2.12396694214876,96.41434262948208,11.486504132231403,11.33242137666295,0,0,[29],[]
0,06/10/2019 - 22:40:42,8,251,323,250,72,1.292,99.60159362549801,26.586904,68.1616885294282,0,0,[29],[]
0,06/10/2019 - 22:45:07,8,250,336,250,86,1.344,100.0,25.314344,69.53102798102199,0,0,[29],[]
0,06/10/2019 - 22:49:34,8,250,324,250,74,1.296,100.0,42.024004,96.61558596228656,0,0,[29],[]
0,06/10/2019 - 22:51:59,8,251,356,250,105,1.424,99.60159362549801,53.830796,111.78181594095877,0,0,[29],[]
0,06/10/2019 - 22:55:59,8,251,813,248,562,3.278225806451613,98.80478087649402,28.664995967741937,33.227098440795864,3,3,"[29, 7, 5, 5]","[14, 13, 13]"
0,06/10/2019 - 22:58:11,8,251,332,250,81,1.328,99.60159362549801,10.273584000000001,7.705019419245094,0,0,[29],[]
0,06/10/2019 - 23:00:36,8,251,321,250,70,1.284,99.60159362549801,64.52909600000001,123.97331667731885,0,0,[29],[]
0,06/10/2019 - 23:05:32,8,251,737,233,486,3.163090128755365,92.82868525896414,33.284763948497854,38.28385589533355,5,5,"[29, 6, 6, 6, 6, 5]","[12, 12, 12, 12, 9]"
0,06/10/2019 - 23:13:43,1,251,327,249,76,1.3132530120481927,99.20318725099602,23.64963453815261,66.39553541202578,0,0,[29],[]
0,06/10/2019 - 23:16:30,1,250,692,248,442,2.7903225806451615,99.2,23.210568548387094,37.88790365196341,0,0,[29],[]
0,06/10/2019 - 23:20:29,1,250,322,250,72,1.288,100.0,24.619844,63.25154174838479,0,0,[29],[]
0,06/10/2019 - 23:23:41,1,250,418,246,168,1.6991869918699187,98.4,17.103569105691058,32.338448593968394,0,0,[29],[]
