,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,19/09/2019 - 08:24:31,3,250,722,205,472,3.521951219512195,82.0,8.12469756097561,8.151378958981166,0,0,[13],[]
0,19/09/2019 - 08:27:44,3,251,684,208,433,3.2884615384615383,82.86852589641434,8.019447115384615,7.560104830310235,0,0,[13],[]
0,19/09/2019 - 08:33:00,3,251,725,198,474,3.6616161616161618,78.88446215139442,45.55056565656566,55.97437307495795,0,0,[13],[]
0,19/09/2019 - 08:36:48,3,250,787,192,537,4.098958333333333,76.8,7.359270833333333,7.404771578852561,0,0,[13],[]
0,19/09/2019 - 08:39:17,3,251,688,196,437,3.510204081632653,78.08764940239044,44.19305612244898,63.24154785812685,0,0,[13],[]
0,19/09/2019 - 08:41:38,8,250,750,219,500,3.4246575342465753,87.6,39.53227397260274,54.83215230151251,1,1,"[13, 9]",[16]
0,19/09/2019 - 08:45:11,8,251,969,159,718,6.09433962264151,63.34661354581673,61.029899371069185,67.36862149839232,1,1,"[13, 7]",[12]
0,19/09/2019 - 08:48:49,8,251,1349,40,1098,33.725,15.936254980079681,29.110825,46.32870737074773,2,2,"[13, 6, 6]","[16, 16]"
0,19/09/2019 - 08:51:35,8,251,711,179,460,3.9720670391061454,71.31474103585657,27.731106145251395,61.251401704129,2,2,"[13, 5, 13]","[9, 29]"
0,19/09/2019 - 09:00:57,8,250,686,216,436,3.175925925925926,86.4,18.38339351851852,32.67434242612087,1,1,"[13, 6]",[12]
0,19/09/2019 - 09:03:35,8,251,807,192,556,4.203125,76.49402390438247,24.733541666666667,44.42398920391921,1,1,"[13, 3]",[5]
0,19/09/2019 - 09:05:52,8,251,517,226,266,2.2876106194690267,90.0398406374502,19.507389380530974,49.02586029046369,6,6,"[13, 5, 6, 9, 7, 13, 3]","[10, 11, 13, 19, 36, 7]"
0,19/09/2019 - 09:08:57,8,250,820,206,570,3.9805825242718447,82.39999999999999,37.39179611650486,56.277998738985275,0,0,[13],[]
0,19/09/2019 - 09:11:20,8,251,510,224,259,2.2767857142857144,89.2430278884462,61.42230357142857,103.69102691752751,2,2,"[13, 4, 5]","[10, 11]"
0,19/09/2019 - 09:14:06,8,251,593,229,342,2.589519650655022,91.23505976095618,9.034502183406113,6.908819258839045,2,2,"[13, 5, 5]","[11, 11]"
