,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,11/09/2019 - 10:19:25,8,251,966,123,715,7.853658536585366,49.00398406374502,47.71779674796747,85.24313441471323,7,7,"[13, 4, 4, 4, 3, 8, 6, 12]","[8, 7, 8, 7, 16, 16, 26]"
0,11/09/2019 - 10:25:42,3,250,806,184,556,4.380434782608695,73.6,19.998755434782606,29.71394514090862,0,0,[13],[]
0,11/09/2019 - 10:28:44,8,250,650,179,400,3.631284916201117,71.6,73.19054189944134,93.12286896624926,5,5,"[13, 0, 0, 6, 5, 5]","[1, 1, 15, 15, 14]"
0,11/09/2019 - 10:34:12,8,251,624,205,373,3.0439024390243903,81.67330677290838,8.89538536585366,7.299014562473517,10,10,"[13, 3, 4, 5, 5, 5, 5, 4, 5, 9, 4]","[6, 7, 7, 10, 12, 13, 14, 16, 31, 7]"
0,11/09/2019 - 10:36:33,8,251,582,205,331,2.8390243902439023,81.67330677290838,27.533931707317073,48.944118014823744,2,2,"[13, 0, 6]","[1, 21]"
0,11/09/2019 - 10:43:44,3,250,765,191,515,4.005235602094241,76.4,39.36537696335078,51.15139871495835,0,0,[13],[]
0,11/09/2019 - 10:53:32,3,251,801,193,550,4.150259067357513,76.89243027888446,16.79261658031088,26.336982394649887,0,0,[13],[]
0,11/09/2019 - 10:56:30,3,251,769,195,518,3.943589743589744,77.68924302788844,34.101041025641024,48.11001511310231,0,0,[13],[]
