,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,06/10/2019 - 22:14:41,3,250,605,234,355,2.5854700854700856,93.60000000000001,28.809282051282054,46.83016263823846,0,0,[29],[]
0,06/10/2019 - 22:17:42,3,251,652,240,401,2.716666666666667,95.61752988047809,32.048920833333334,49.06456237327744,0,0,[29],[]
0,06/10/2019 - 22:19:55,3,250,670,236,420,2.8389830508474576,94.39999999999999,14.66465677966102,24.521893642074563,0,0,[29],[]
0,06/10/2019 - 22:22:24,3,250,613,243,363,2.522633744855967,97.2,21.47712345679012,37.5788046696044,0,0,[29],[]
0,06/10/2019 - 22:24:59,5,250,473,253,223,1.8695652173913044,101.2,52.561604743083016,101.90402930255867,0,0,[29],[]
0,06/10/2019 - 22:28:58,5,251,450,260,199,1.7307692307692308,103.58565737051792,36.050842307692314,83.6551374810375,0,0,[29],[]
0,06/10/2019 - 22:31:28,5,250,465,248,215,1.875,99.2,22.025076612903227,55.1350197918689,0,0,[29],[]
0,06/10/2019 - 22:34:53,5,251,456,276,205,1.6521739130434783,109.96015936254979,69.9961884057971,123.81476888133506,0,0,[29],[]
0,06/10/2019 - 22:40:44,8,250,379,249,129,1.5220883534136547,99.6,9.895542168674698,8.165771928973584,0,0,[29],[]
0,06/10/2019 - 22:45:09,8,250,376,247,126,1.5222672064777327,98.8,25.65303643724696,64.62091870180328,0,0,[29],[]
0,06/10/2019 - 22:49:36,8,250,409,252,159,1.623015873015873,100.8,16.391924603174605,42.018767615328535,0,0,[29],[]
0,06/10/2019 - 22:52:00,8,250,417,250,167,1.668,100.0,8.616036,5.496555828034861,0,0,[29],[]
0,06/10/2019 - 22:56:00,8,251,395,252,144,1.5674603174603174,100.39840637450199,14.137492063492065,36.92086433970915,0,0,[29],[]
0,06/10/2019 - 22:58:13,8,250,403,247,153,1.631578947368421,98.8,12.459874493927128,27.697526960966734,0,0,[29],[]
0,06/10/2019 - 23:00:39,8,251,378,250,127,1.512,99.60159362549801,11.208732,26.292818580824992,0,0,[29],[]
0,06/10/2019 - 23:05:34,8,250,525,243,275,2.1604938271604937,97.2,13.207304526748974,29.062428368757427,4,4,"[29, 5, 7, 9, 7]","[21, 15, 27, 15]"
0,06/10/2019 - 23:13:45,1,250,362,250,112,1.448,100.0,19.590464,50.36164045970608,0,0,[29],[]
0,06/10/2019 - 23:16:32,1,251,383,250,132,1.532,99.60159362549801,12.718416000000001,35.55135689982795,0,0,[29],[]
0,06/10/2019 - 23:20:30,1,250,344,250,94,1.376,100.0,9.890168,12.011204028729843,0,0,[29],[]
0,06/10/2019 - 23:23:43,1,250,471,253,221,1.8616600790513833,101.2,30.856106719367588,78.21742739268099,0,0,[29],[]
