,timestamp,avgGain,std,length
0,29/09/2019 - 08:52:51,55.194,3.4058573076392973,500
0,29/09/2019 - 08:55:02,55.6531190926276,1.709515432010479,529
0,29/09/2019 - 08:57:34,55.10131332082552,1.8134266179882172,533
0,29/09/2019 - 08:59:51,54.273175542406314,1.796564323258968,507
0,29/09/2019 - 09:02:42,52.48470097357441,2.3303216008002443,719
0,29/09/2019 - 09:04:46,52.7070530726257,2.615953921415858,716
0,29/09/2019 - 09:07:14,52.55990304709141,2.8738111339845265,722
0,29/09/2019 - 09:10:14,53.086363636363636,2.661163199441609,715
0,29/09/2019 - 09:12:44,53.60186625194401,2.471832849699762,643
0,29/09/2019 - 09:15:49,54.05874316939891,10.132936344753425,915
0,29/09/2019 - 09:18:28,52.20246238030096,0.8233390756771347,731
0,29/09/2019 - 09:20:31,52.74238782051282,0.18999975601973157,624
0,29/09/2019 - 09:23:42,50.54812695109261,1.8476259842966163,961
0,29/09/2019 - 09:33:29,59.70240384615385,4.617667679516007,520
0,29/09/2019 - 09:54:28,52.743085880640464,0.1810918604224651,687
0,29/09/2019 - 09:56:37,52.742952522255194,0.182827384013638,674
0,29/09/2019 - 09:58:41,52.74232633279483,0.19076434167888934,619
0,29/09/2019 - 10:00:56,52.74226384364821,0.19153823262187217,614
0,29/09/2019 - 10:08:10,88.89950980392157,2.0273134340076293,408
0,29/09/2019 - 10:10:24,88.89851485148515,2.0373001383546385,404
0,29/09/2019 - 10:13:08,88.89593908629442,2.0629272377298467,394
