LQE,TxEntrega,Relacao,Gain-index,CustoEnerg,errTxEntrega,errRelacao,errGain-Index
wmewmaPRR,84.8,3.39,52.70,37738,0.905268587260934,0.0316078743496636,0.12798174440136
ETX,97.6,2.11,55.05,27597,0.7891913414509,0.0945975830282579,0.334367395747751
LQM3 w CD,98.53,1.40,71.52,34466,2.87461384399208,0.149463186355169,3.2226261389756
LQM3 w/o CD,99.2,1.53,73.18,28395,0.453538644414707,0.0661559768736772,0.00273337561262759
MaxGain,99.33,1.62,88.89,36271,0.688655681505493,0.0381543082226981,0.0020852375773818
