,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,02/10/2019 - 10:39:47,4,251,1501,0,1250,0.0,0.0,,,0,0,[13],[]
0,02/10/2019 - 10:49:42,4,251,1501,0,1250,0.0,0.0,,,0,0,[13],[]
0,02/10/2019 - 10:54:31,4,251,1458,17,1207,85.76470588235294,6.772908366533864,4.692764705882353,3.587430942633752,0,0,[13],[]
0,02/10/2019 - 16:39:18,4,251,1375,52,1124,26.442307692307693,20.717131474103585,40.44359615384615,49.93436588788697,0,0,[13],[]
0,02/10/2019 - 16:43:29,4,251,611,236,360,2.5889830508474576,94.02390438247012,40.50131355932204,75.26312704103451,0,0,[13],[]
0,02/10/2019 - 16:46:16,4,251,693,213,442,3.2535211267605635,84.86055776892431,34.69011737089202,44.32435425383079,0,0,[13],[]
0,02/10/2019 - 16:50:27,4,251,1173,104,922,11.278846153846153,41.43426294820717,28.39346153846154,39.64664330949165,0,0,[13],[]
0,02/10/2019 - 16:52:51,4,251,869,172,618,5.0523255813953485,68.52589641434263,39.30311627906976,58.11533075722243,0,0,[13],[]
0,02/10/2019 - 16:55:57,4,251,925,151,674,6.125827814569536,60.1593625498008,6.94556953642384,7.2121294542619125,0,0,[13],[]
0,02/10/2019 - 16:59:30,4,251,906,164,655,5.524390243902439,65.33864541832669,70.68853048780488,55.76213288488006,0,0,[13],[]
0,02/10/2019 - 17:02:12,4,250,858,186,608,4.612903225806452,74.4,43.75160752688172,59.27053434198712,0,0,[13],[]
0,02/10/2019 - 17:05:27,4,251,794,190,543,4.178947368421053,75.69721115537848,53.255268421052634,73.65262772292044,0,0,[13],[]
