LQE,No12,No14,No16,errNo12,errNo14,errNo16
LQM3,99.402390438247,99.9003984063745,87.6169986719788,1.1712932178526,0.195215536308775,9.28593266807957
LQM3 w/o CD,97.906374501992,98.1075697211155,83.1498007968127,1.9487726005516,0.373809292634384,12.359280243562
LQL,96.808764940239,97.3083665338645,90.304780876494,1.94120821601155,2.8398274717366,6.38488375288996
PRR,95.9163346613546,95.5179282868526,92.8199203187251,3.28789947532306,1.20865588511606,1.16498177042312
MaxGain,99.8677290836653,98.406374501992,96.6788844621514,0.491799146051804,2.48979540931677,3.07975673026584
