LQE,TxEntrega,Relacao,Gain-index,CustoEnerg,errTxEntrega,errRelacao,errGain-Index
PRR,91.092828685259,2.87864342217638,50.8447057084435,131930.1875,1.2543935308263,0.104836174579384,2.5764155003553
ETX,99.0520916334661,2.70084740717772,54.087156446946,104815.75,1.7668452166755,0.145524774404776,1.75608259902363
LQM3 w/o CD,99.3759960159363,2.25088857631778,73.1835882205568,116586.25,0.597039832985962,0.162381187194473,1.12347799887616
LQM3,98.4046812749004,2.09560846764038,66.5145561022482,129483.5625,1.50667496486975,0.551001591759657,3.46986795902454
MaxGain,99.1851593625498,1.88682006106679,88.8992483431626,153005,0.679060557044032,0.502910985810912,1.77848548935222
