LQE,TxEntrega,Relacao,Gain-index,CustoEnerg,errTxEntrega,errRelacao,errGain-Index
LQM3,98.4025498007968,1.91302936445362,50.6446838374248,23763,1.376,0.120996803240512,1.81687161450931
LQM3 w/o CD,99.2809561752988,1.86726810309689,52.7397446304135,24429.05,0.691410304231497,0.13594736192776,0.193247071266373
LQL,97.84,2.15544986158777,46.0031265967641,24197.64,0.947293397271483,0.108058438455126,0.061896779155556
PRR,97.4419123505976,2.12820249977458,46.4940087970293,24078.85,0.209716146345786,0.210284234582072,1.86658100827899
MaxGain,99.6806374501992,1.62344417670683,88.898439792033,35932.8,0.452634293630469,0.028477616471965,1.78611989543766
