LQE,TxEntrega,Relacao,Gain-index,CustoEnerg,errTxEntrega,errRelacao,errGain-Index
LQM3,95.6399291722001,2.19838533480254,52.0397185543399,80819.875,3.55081380741365,0.353703610934174,0.765953967332283
LQM3 w/o CD,93.0545816733068,2.52763275841812,52.7410523696622,88935.4375,4.89395404558265,0.660674310461804,0.179431150286418
LQL,94.8073041168659,2.55982878021477,46.0033732143773,83070.5,3.72197314687937,0.373818299144661,0.071806036939166
PRR,94.7513944223108,2.47039628020051,48.3381909470369,84977.625,1.88717904362075,0.272798926206425,2.29049435070431
MaxGain,98.3176626826029,1.82702984526242,88.901240852052,120138.25,2.0204504285448,0.564215532966986,1.74748633204191
