LQE,No12,No13,No15,No16,errNo12,errNo13,errNo15,errNo16
PRR,93.7035856573705,85.0442231075697,90.4191235059761,95.2043824701195,1.88313040465735,0.694274277569543,0.90372618574688,1.53644325533142
ETX,99.5003984063745,97.1091633466135,96.1123505976096,100,0.493350820919309,0.488191449432382,1.50605158136297,4.57978701498732
LQM3 w/o CD,99.9003984063745,99.800796812749,98.0027888446215,99.8,0.195215536308768,0.225415484875729,1.15153023340031,0.815998077359039
LQM3,99.3,97.7091633466135,97.6095617529881,99,0.926242842503171,3.20969804679694,0.552152918067602,1.33860605211127
MaxGain,99.8666666666667,99.2,97.8067729083665,99.867197875166,0.226317146815237,0.783985593816019,1.5107239512361,0.195215536308768
