,timestamp,avgGain,std,length
0,18/06/2019 - 13:37:34,52.73785166240409,0.23991044469597086,391
0,18/06/2019 - 13:39:52,52.73895348837209,0.22879883044590207,430
0,18/06/2019 - 13:42:04,52.73778920308483,0.24052480492818243,389
0,18/06/2019 - 13:45:30,52.73772609819122,0.24114390916239126,387
0,18/06/2019 - 13:48:46,52.73860911270983,0.2323294262788079,417
0,18/06/2019 - 13:51:18,52.740266393442624,0.21480197403871126,488
0,18/06/2019 - 13:54:01,52.739850427350426,0.21933412014664094,468
0,18/06/2019 - 13:58:03,52.740423387096776,0.21306618637321215,496
0,18/06/2019 - 14:01:50,46.00339558573854,0.08233857828850352,589
0,18/06/2019 - 14:04:38,46.003016591251885,0.07761496428518014,663
0,18/06/2019 - 14:07:44,46.0036036036036,0.08481875528605275,555
0,18/06/2019 - 14:10:46,46.004,0.08935323161475471,500
0,18/06/2019 - 14:17:28,46.881554307116104,1.7293164038367377,534
0,18/06/2019 - 14:23:37,47.603326612903224,2.594636997999629,496
0,18/06/2019 - 14:25:45,48.156037414965986,2.0700410242643827,588
0,18/06/2019 - 14:30:30,48.31594323873122,1.9638405875237273,599
0,18/06/2019 - 14:35:05,48.0,2.6311804804236427,569
0,18/06/2019 - 14:38:54,88.87461773700306,2.2638356987644634,327
0,18/06/2019 - 14:41:13,88.95729166666666,1.322579927615173,960
0,18/06/2019 - 14:45:25,88.8929503916449,2.0922653569539813,383
0,18/06/2019 - 14:47:43,88.88218390804597,2.1946706218910443,348
0,18/06/2019 - 14:51:34,52.74006276150627,0.21703256469089421,478
0,18/06/2019 - 14:54:18,52.74018595041322,0.21568592899838954,484
0,18/06/2019 - 14:56:52,52.736350574712645,0.25426062082884054,348
0,18/06/2019 - 15:00:31,52.739583333333336,0.2221950938302243,456
