,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,18/06/2019 - 13:37:34,8,251,392,251,141,1.5617529880478087,100.0,25.039697211155378,51.25109546235657,0,0,[13],[]
0,18/06/2019 - 13:39:52,8,250,431,269,181,1.6022304832713754,107.60000000000001,44.795866171003716,95.43166048325763,0,0,[13],[]
0,18/06/2019 - 13:42:04,8,251,390,250,139,1.56,99.60159362549801,25.484119999999997,54.02606805431615,0,0,[13],[]
0,18/06/2019 - 13:45:30,8,250,388,262,138,1.4809160305343512,104.80000000000001,57.917465648854964,113.27818979894887,0,0,[13],[]
0,18/06/2019 - 13:48:46,8,251,418,247,167,1.6923076923076923,98.40637450199203,16.142902834008094,39.448292344503855,0,0,[13],[]
0,18/06/2019 - 13:51:18,8,251,489,246,238,1.9878048780487805,98.00796812749005,8.55518292682927,5.43293351592756,0,0,[13],[]
0,18/06/2019 - 13:54:01,8,251,469,247,218,1.8987854251012146,98.40637450199203,9.073465587044533,9.192590150437304,0,0,[13],[]
0,18/06/2019 - 13:58:03,8,251,497,245,246,2.0285714285714285,97.60956175298804,12.926191836734693,31.65728745299518,0,0,[13],[]
0,18/06/2019 - 14:01:50,7,250,590,255,340,2.3137254901960786,102.0,32.41130980392157,49.30746465527783,0,0,[13],[]
0,18/06/2019 - 14:04:38,7,251,664,234,413,2.8376068376068377,93.22709163346613,9.176038461538463,10.475376395059932,0,0,[13],[]
0,18/06/2019 - 14:07:44,7,251,556,247,305,2.251012145748988,98.40637450199203,18.578825910931176,27.542304045516694,0,0,[13],[]
0,18/06/2019 - 14:10:46,7,250,501,244,251,2.05327868852459,97.6,9.301573770491805,10.65295061521134,0,0,[13],[]
0,18/06/2019 - 14:17:28,3,250,535,243,285,2.2016460905349793,97.2,10.935032921810699,15.438434874208308,0,0,[13],[]
0,18/06/2019 - 14:23:37,3,251,497,244,246,2.0368852459016393,97.21115537848605,27.567995901639346,39.903697439975794,0,0,[13],[]
0,18/06/2019 - 14:25:45,3,251,589,238,338,2.4747899159663866,94.82071713147411,15.247970588235294,27.5824756895207,0,0,[13],[]
0,18/06/2019 - 14:30:30,3,251,600,237,349,2.5316455696202533,94.42231075697211,8.580729957805907,8.579130185351183,0,0,[13],[]
0,18/06/2019 - 14:35:05,3,251,570,240,319,2.375,95.61752988047809,23.517991666666664,41.61914893461419,0,0,[13],[]
0,18/06/2019 - 14:38:54,1,251,328,250,77,1.312,99.60159362549801,21.854964,54.23889197049202,0,0,[13],[]
0,18/06/2019 - 14:41:13,1,251,961,240,710,4.004166666666666,95.61752988047809,50.37694166666667,34.58461094072907,0,0,[13],[]
0,18/06/2019 - 14:45:25,1,251,384,251,133,1.5298804780876494,100.0,8.863713147410358,10.959651785360748,0,0,[13],[]
0,18/06/2019 - 14:47:43,1,251,349,255,98,1.3686274509803922,101.59362549800797,10.915764705882355,17.181902303305154,0,0,[13],[]
0,18/06/2019 - 14:51:34,8,250,479,248,229,1.9314516129032258,99.2,11.789451612903227,16.83271316794868,0,0,[13],[]
0,18/06/2019 - 14:54:18,8,250,485,248,235,1.9556451612903225,99.2,13.265818548387097,19.987667498625836,0,0,[13],[]
0,18/06/2019 - 14:56:52,8,250,349,250,99,1.396,100.0,22.597303999999998,22.96705082947273,0,0,[13],[]
0,18/06/2019 - 15:00:31,8,251,457,251,206,1.8207171314741035,100.0,31.753505976095614,67.86261561398204,0,0,[13],[]
