,timestamp,method,enviosSolicitados,enviosEfetivos,acksRecebidos,retransmissoes,relacao,taxaEntrega,tempoMedioRecebAck,desvioPadraoAck,treinos,conceptDrift,depth,folhas
0,18/06/2019 - 13:37:34,8,251,767,198,516,3.8737373737373737,78.88446215139442,33.97234848484849,55.8284400273159,6,6,"[13, 7, 6, 7, 6, 6, 6]","[14, 14, 14, 16, 17, 17]"
0,18/06/2019 - 13:39:53,8,251,724,219,473,3.3059360730593608,87.25099601593625,19.606123287671235,43.538812579357476,0,0,[13],[]
0,18/06/2019 - 13:42:05,8,250,561,240,311,2.3375,96.0,9.762758333333332,6.6085764831213,0,0,[13],[]
0,18/06/2019 - 13:45:55,8,251,1049,140,798,7.492857142857143,55.77689243027888,6.6635928571428575,3.7793874463924686,5,5,"[13, 8, 7, 4, 3, 2]","[21, 22, 8, 6, 4]"
0,18/06/2019 - 13:48:56,8,251,979,163,728,6.006134969325154,64.9402390438247,13.408417177914112,14.913062935164298,0,0,[13],[]
0,18/06/2019 - 13:51:29,8,251,1005,156,754,6.4423076923076925,62.15139442231076,6.54625,3.7753291495576913,0,0,[13],[]
0,18/06/2019 - 13:54:43,8,251,1145,102,894,11.22549019607843,40.63745019920319,11.93795098039216,18.893981153037135,0,0,[13],[]
0,18/06/2019 - 13:58:04,8,250,862,168,612,5.130952380952381,67.2,24.77255357142857,41.500825883600676,0,0,[13],[]
0,18/06/2019 - 14:01:50,7,250,621,237,371,2.6202531645569622,94.8,25.693168776371305,32.876927782931425,0,0,[13],[]
0,18/06/2019 - 14:04:39,7,250,813,203,563,4.004926108374384,81.2,9.533349753694582,9.682526396023512,0,0,[13],[]
0,18/06/2019 - 14:07:45,7,251,616,239,365,2.577405857740586,95.2191235059761,17.35243514644352,42.14585204597174,0,0,[13],[]
0,18/06/2019 - 14:10:53,7,250,653,225,403,2.902222222222222,90.0,10.02636,11.233738256171799,0,0,[13],[]
0,18/06/2019 - 14:19:05,3,251,1501,0,1250,0.0,0.0,,,0,0,[13],[]
0,18/06/2019 - 14:23:38,3,251,597,234,346,2.551282051282051,93.22709163346613,8.48534188034188,4.4443902462425156,0,0,[13],[]
0,18/06/2019 - 14:25:46,3,251,623,236,372,2.639830508474576,94.02390438247012,10.407161016949154,24.593974938056157,0,0,[13],[]
0,18/06/2019 - 14:30:34,3,251,607,233,356,2.6051502145922747,92.82868525896414,9.188008583690985,8.779246413440575,0,0,[13],[]
0,18/06/2019 - 14:35:06,3,250,695,228,445,3.0482456140350878,91.2,15.718552631578946,31.884402553652627,0,0,[13],[]
0,18/06/2019 - 14:38:55,1,251,511,232,260,2.2025862068965516,92.43027888446214,17.626254310344823,51.090614060064524,0,0,[13],[]
0,18/06/2019 - 14:41:13,1,251,468,247,217,1.894736842105263,98.40637450199203,19.88568016194332,58.485788642754144,0,0,[13],[]
0,18/06/2019 - 14:45:26,1,250,431,248,181,1.7379032258064515,99.2,8.71508064516129,8.271725461256533,0,0,[13],[]
0,18/06/2019 - 14:47:41,1,251,450,247,199,1.8218623481781377,98.40637450199203,14.994319838056683,40.84609177642122,0,0,[13],[]
0,18/06/2019 - 14:51:36,8,250,679,222,429,3.0585585585585586,88.8,8.07894144144144,5.408310245611573,0,0,[13],[]
0,18/06/2019 - 14:54:19,8,251,752,214,501,3.514018691588785,85.2589641434263,8.862518691588786,9.749450136765498,0,0,[13],[]
0,18/06/2019 - 14:56:52,8,250,512,234,262,2.1880341880341883,93.60000000000001,21.7629188034188,34.66928058189348,0,0,[13],[]
0,18/06/2019 - 15:00:31,8,250,755,199,505,3.7939698492462313,79.60000000000001,22.453728643216078,30.65158041515096,0,0,[13],[]
