,timestamp,avgGain,std,length
0,18/06/2019 - 08:44:11,46.00398406374502,0.0891754154804757,502
0,18/06/2019 - 08:48:22,46.00383877159309,0.0875374606602025,521
0,18/06/2019 - 13:37:34,50.53250478011472,2.483529845747585,523
0,18/06/2019 - 13:39:52,52.738849765258216,0.22986797795403616,426
0,18/06/2019 - 13:42:04,51.510326086956525,2.5501016395289353,460
0,18/06/2019 - 13:45:30,47.77109053497942,3.5391247441657634,486
0,18/06/2019 - 13:48:46,52.73920454545455,0.22618989202010356,440
0,18/06/2019 - 13:51:17,52.741252302025785,0.20365422450242507,543
0,18/06/2019 - 13:54:00,52.74006276150627,0.21703256469089421,478
0,18/06/2019 - 13:58:03,52.74044265593562,0.2128521587399808,497
0,18/06/2019 - 14:01:51,46.003787878787875,0.08695636578218935,528
0,18/06/2019 - 14:04:36,46.003442340791736,0.08290254443230496,581
0,18/06/2019 - 14:07:44,46.00352733686067,0.08391800531478179,567
0,18/06/2019 - 14:10:46,46.00369685767098,0.0859072091580203,541
0,18/06/2019 - 14:17:28,46.94291666666667,1.6635090400682795,600
0,18/06/2019 - 14:23:37,46.13436123348018,1.3283207616091177,454
0,18/06/2019 - 14:25:45,48.4367816091954,2.588559867400525,609
0,18/06/2019 - 14:30:32,49.28781847133758,2.939961683344091,628
0,18/06/2019 - 14:35:05,46.86555755395683,3.599344946188344,556
0,18/06/2019 - 14:38:54,88.86148648648648,2.379047721385218,296
0,18/06/2019 - 14:41:11,88.9,2.0223748416156684,410
0,18/06/2019 - 14:45:24,88.90096618357488,2.0126049728235853,414
0,18/06/2019 - 14:47:43,88.90024330900243,2.019919041323552,411
0,18/06/2019 - 14:51:33,52.74093511450382,0.20730661821999644,524
0,18/06/2019 - 14:54:18,52.74105461393597,0.20593825257175666,531
0,18/06/2019 - 14:56:52,52.741300366300365,0.20309499365260653,546
0,18/06/2019 - 15:00:25,50.12433862433863,1.5186141499669827,567
