,timestamp,avgGain,std,length
0,17/06/2019 - 15:54:10,51.35774946921444,2.7901077205412177,471
0,17/06/2019 - 15:57:31,52.739179954441916,0.2264467774445733,439
0,17/06/2019 - 16:00:29,50.72494780793319,1.9599057184596749,479
0,17/06/2019 - 16:04:25,47.04255319148936,2.6612644533913574,517
0,17/06/2019 - 16:06:40,51.358988764044945,2.7263648452723044,445
0,17/06/2019 - 16:31:09,52.739850427350426,0.21933412014664094,468
0,17/06/2019 - 16:34:00,52.739651416122,0.22146936635164557,459
0,17/06/2019 - 16:36:07,52.73978494623656,0.22003899211947434,465
0,17/06/2019 - 16:38:14,52.739651416122,0.22146936635164557,459
0,17/06/2019 - 16:40:52,52.73978494623656,0.22003899211947434,465
0,17/06/2019 - 18:09:25,46.0,0.0,521
0,17/06/2019 - 18:11:56,46.00355239786856,0.08421505926202272,563
0,17/06/2019 - 18:14:11,46.004056795131845,0.08998406901752064,493
0,17/06/2019 - 18:17:15,46.00375939849624,0.08662946332182642,532
0,17/06/2019 - 18:19:22,46.004264392324096,0.09225291109929182,469
0,17/06/2019 - 18:22:59,46.19465648854962,1.3979401682693546,524
0,17/06/2019 - 18:25:26,46.32277882797732,1.5292195120133198,529
0,17/06/2019 - 18:28:32,46.74180327868852,2.5637236035499393,488
0,17/06/2019 - 18:30:49,45.78861386138614,1.0991644258505582,505
0,17/06/2019 - 18:32:59,47.42219152854512,4.057602076089279,543
0,17/06/2019 - 18:35:15,88.90072639225181,2.0150341606236375,413
0,17/06/2019 - 18:37:57,88.89950980392157,2.0273134340076293,408
0,17/06/2019 - 18:40:07,88.89593908629442,2.0629272377298467,394
0,17/06/2019 - 18:42:19,88.903073286052,1.9911304537852001,423
0,17/06/2019 - 18:44:21,88.8929503916449,2.0922653569539813,383
